,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
0,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,0.0
1,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-4.0
2,NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,2.0
3,NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,1.0
4,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-10.0
5,NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,2.0
6,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-13.0
7,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,5.0
8,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-8.0
9,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-10.0
10,H,0.0,1.5,L,M,M,W,M,M,-0.5,0.5,-1.5,-2.0
11,H,0.0,1.5,L,M,M,W,M,M,-0.5,1.0,-1.5,12.0
12,NH,0.0,1.5,L,M,M,W,M,M,-1.0,1.0,-1.5,17.0
13,NH,1.5,1.5,W,M,M,W,M,M,1.0,1.0,0.0,2.0
14,H,0.0,1.5,L,M,M,W,M,M,-1.0,2.0,-1.5,-5.0
15,H,0.0,1.5,L,M,M,W,M,M,-2.0,0.5,-1.5,11.0
16,H,0.0,0.5,L,M,M,D,M,M,-1.0,0.0,-0.5,-5.0
17,NH,0.5,0.0,D,M,M,L,M,M,0.0,-1.0,0.5,1.0
18,NH,0.0,0.5,L,M,M,D,M,M,-1.0,0.0,-0.5,1.0
19,H,0.0,1.5,L,M,M,W,M,M,-0.5,2.0,-1.5,-16.0
20,NH,1.0,1.3333333333333333,W,L,M,W,D,M,0.3333333333333333,0.3333333333333333,-0.3333333333333333,9.0
21,NH,1.0,0.3333333333333333,W,L,M,L,D,M,0.3333333333333333,-0.3333333333333333,0.6666666666666666,-3.0
22,H,0.3333333333333333,1.0,D,L,M,L,W,M,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,11.0
23,NH,1.0,1.0,W,L,M,W,L,M,-0.6666666666666666,-0.3333333333333333,0.0,4.0
